id,name,artifact_type,category,availability,status,primary_url,description
agent-sdks-and-general-purpose-frameworks--genkit,Genkit,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/firebase/genkit,"Genkit is Google's open-source application framework for JavaScript, Go, and Python with typed generation flows, tools, retrieval, evaluation, observability, and deployment adapters."
agent-sdks-and-general-purpose-frameworks--mirascope,Mirascope,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/Mirascope/mirascope,Mirascope is a Python library for structured LLM calls and tool-using agents that keeps prompts and control flow in ordinary code while supporting multiple model providers.
agent-sdks-and-general-purpose-frameworks--atomic-agents,Atomic Agents,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/Eigenwise/atomic-agents,Atomic Agents is a lightweight Python framework that uses Pydantic schemas and small composable components to build predictable tool-using agents with explicit inputs and outputs.
agent-sdks-and-general-purpose-frameworks--langroid,Langroid,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/langroid/langroid,"Langroid is a Python framework for building LLM applications as collaborating agents with message routing, tools, vector-store access, task delegation, and human participation."
agent-sdks-and-general-purpose-frameworks--voltagent,VoltAgent,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/VoltAgent/voltagent,"VoltAgent is a TypeScript framework for agents and supervisor patterns with tools, memory, workflows, guardrails, voice integrations, and OpenTelemetry-based observability."
agent-sdks-and-general-purpose-frameworks--nvidia-nemo-agent-toolkit,NVIDIA NeMo Agent Toolkit,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/NVIDIA/NeMo-Agent-Toolkit,"NVIDIA NeMo Agent Toolkit is a framework-agnostic Python toolkit for composing, profiling, evaluating, and optimizing agent workflows while integrating with existing agent libraries and telemetry backends."
agent-sdks-and-general-purpose-frameworks--julep,Julep,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-core,active,https://github.com/julep-ai/julep,"Julep is a stateful agent platform with an open SDK and task language for defining multi-step, scheduled, and long-running workflows backed by managed sessions and storage."
agent-sdks-and-general-purpose-frameworks--rig,Rig,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/0xPlaygrounds/rig,"Rig is a Rust library for building portable LLM applications and agents with provider abstractions, tools, vector stores, RAG, and typed extraction."
agent-orchestration-and-workflow-frameworks--langgraph,LangGraph,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/langchain-ai/langgraph,"LangGraph is LangChain's low-level graph runtime for long-running, stateful agents with cycles, persistence, interrupts, human-in-the-loop control, streaming, and time-travel debugging."
agent-orchestration-and-workflow-frameworks--langchain,LangChain,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/langchain-ai/langchain,"LangChain is a Python and JavaScript framework of model, tool, retriever, middleware, and agent abstractions whose higher-level agents are built on LangGraph."
agent-orchestration-and-workflow-frameworks--microsoft-agent-framework,Microsoft Agent Framework,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/microsoft/agent-framework,"Microsoft Agent Framework is Microsoft's production-oriented Python and .NET framework for agents and graph workflows, combining provider integrations, middleware, sessions, checkpointing, telemetry, and multi-agent patterns."
agent-orchestration-and-workflow-frameworks--google-agent-development-kit-adk,Google Agent Development Kit (ADK),framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/google/adk-python,"Google Agent Development Kit (ADK) is a code-first agent framework with agent and workflow primitives, sessions, tools, evaluation, local debugging, deployment adapters, streaming, and multi-agent delegation."
agent-orchestration-and-workflow-frameworks--llamaindex,LlamaIndex,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/run-llama/llama_index,"LlamaIndex is a data-centric framework whose agents and event-driven Workflows combine tools, retrieval, state, human input, and multi-agent patterns over private or enterprise data."
agent-orchestration-and-workflow-frameworks--haystack,Haystack,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/deepset-ai/haystack,"Haystack is deepset's Python framework for component pipelines, RAG, and tool-using agents, with explicit routing, loops, state transfer, serialization, and deployment integrations."
agent-orchestration-and-workflow-frameworks--crewai,CrewAI,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/crewAIInc/crewAI,"CrewAI is a Python framework for role-based agent teams and event-driven Flows, separating autonomous collaboration among agents from deterministic application orchestration."
agent-orchestration-and-workflow-frameworks--burr,Burr,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/dagworks-inc/burr,"Burr is a Python state-machine framework for applications and agents with typed actions, persistence, streaming, lifecycle hooks, debugging, and resumable execution."
agent-orchestration-and-workflow-frameworks--dapr-agents,Dapr Agents,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/dapr/dapr-agents,"Dapr Agents is a Python framework that combines agent and workflow abstractions with Dapr's actors, state stores, messaging, resiliency, and distributed application building blocks."
agent-orchestration-and-workflow-frameworks--pocketflow,PocketFlow,framework-or-library,Agent Orchestration and Workflow Frameworks,open-source,active,https://github.com/The-Pocket/PocketFlow,"PocketFlow is a minimalist graph library for composing LLM tasks as nodes, flows, branching, batching, async execution, and multi-agent patterns without a large dependency stack."
multi-agent-systems-and-research-frameworks--metagpt,MetaGPT,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/FoundationAgents/MetaGPT,"MetaGPT is a research-driven multi-agent framework that models a software organization as agents with roles, standard operating procedures, shared artifacts, and message-based collaboration."
multi-agent-systems-and-research-frameworks--camel,CAMEL,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/camel-ai/camel,"CAMEL is an open-source research framework for communicative agents, role-playing, workforce orchestration, tools, memory, environments, and synthetic multi-agent data generation."
multi-agent-systems-and-research-frameworks--ag2,AG2,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/ag2ai/ag2,"AG2 is the community-governed continuation of the original AutoGen ecosystem, providing conversational agents, group patterns, tools, code execution, memory, and protocol integrations."
multi-agent-systems-and-research-frameworks--agentscope,AgentScope,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/agentscope-ai/agentscope,"AgentScope is an Alibaba-originated framework for building and operating multi-agent applications with message passing, tools, memory, distributed execution, evaluation, and studio tooling."
multi-agent-systems-and-research-frameworks--chatdev,ChatDev,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/OpenBMB/ChatDev,ChatDev is a research platform that represents a virtual software company as role-playing agents collaborating through structured chat phases to produce software artifacts.
multi-agent-systems-and-research-frameworks--internet-of-agents,Internet of Agents,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/OpenBMB/IoA,"Internet of Agents is an OpenBMB research framework for connecting heterogeneous agents into teams through dynamic discovery, communication, task allocation, and nested collaboration."
multi-agent-systems-and-research-frameworks--magentic-ui,Magentic-UI,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/microsoft/magentic-ui,"Magentic-UI is Microsoft's research system for human-centered web task automation using a multi-agent architecture, browser and code execution, plans, and explicit user oversight."
multi-agent-systems-and-research-frameworks--agent-squad,Agent Squad,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/2FastLabs/agent-squad,"Agent Squad is a multi-agent routing and orchestration framework, formerly AWS Multi-Agent Orchestrator, that classifies requests, selects specialized agents, and maintains conversation context."
multi-agent-systems-and-research-frameworks--kaibanjs,KaibanJS,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/kaiban-ai/KaibanJS,"KaibanJS is a JavaScript framework for defining role-based agent teams, tasks, workflows, tools, shared state, and execution controls in Node.js applications."
multi-agent-systems-and-research-frameworks--swarms,Swarms,framework-or-library,Multi-Agent Systems and Research Frameworks,open-source,active,https://github.com/kyegomez/swarms,"Swarms is a Python framework for composing agents into sequential, hierarchical, concurrent, mixture, and graph-based collaboration patterns with model and tool integrations."
browser-computer-use-and-coding-agents--openhands,OpenHands,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/OpenHands/OpenHands,"OpenHands is an extensible platform for software-development agents that edit repositories, run terminal commands, browse, and execute code inside controlled runtimes."
browser-computer-use-and-coding-agents--browser-use,Browser Use,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/browser-use/browser-use,"Browser Use is a Python framework that exposes browser state and actions to language models, with Playwright-based control, sessions, tools, and managed-browser options."
browser-computer-use-and-coding-agents--playwright,Playwright,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/microsoft/playwright,"Playwright is Microsoft's deterministic browser-automation library for Chromium, Firefox, and WebKit and is frequently used as the execution layer beneath browser agents."
browser-computer-use-and-coding-agents--stagehand,Stagehand,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/browserbase/stagehand,"Stagehand is Browserbase's TypeScript browser-automation framework that combines Playwright with model-guided natural-language actions, extraction, observation, caching, and agent mode."
browser-computer-use-and-coding-agents--skyvern,Skyvern,tool,"Browser, Computer-Use, and Coding Agents",open-core,active,https://github.com/Skyvern-AI/skyvern,"Skyvern is a browser-automation platform that combines vision, language models, and browser actions for workflows on unfamiliar sites, with self-hosted code and a managed service."
browser-computer-use-and-coding-agents--browserbase,Browserbase,tool,"Browser, Computer-Use, and Coding Agents",commercial,active,https://www.browserbase.com,"Browserbase is managed browser infrastructure for web agents, providing isolated sessions, proxies, stealth controls, recordings, debugging, and integrations with Playwright and Stagehand."
browser-computer-use-and-coding-agents--steel,Steel,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/steel-dev/steel-browser,"Steel is an open-source browser API for AI agents with session management, scraping, proxies, extensions, and Playwright, Puppeteer, and Chrome DevTools Protocol connections."
browser-computer-use-and-coding-agents--lavague,LaVague,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/lavague-ai/LaVague,"LaVague is a framework for building web agents that convert natural-language objectives into browser actions using DOM, visual, retrieval, and Playwright-based components."
browser-computer-use-and-coding-agents--agent-s,Agent S,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/simular-ai/Agent-S,"Agent S is a research framework for generalist computer-use agents that interpret screenshots, plan tasks, retrieve experience, and operate graphical user interfaces."
browser-computer-use-and-coding-agents--ufo,UFO,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/microsoft/UFO,UFO is Microsoft's research framework for UI-focused agents that use vision and application-control APIs to automate Windows desktop tasks across one or more applications.
browser-computer-use-and-coding-agents--open-interpreter,Open Interpreter,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/OpenInterpreter/open-interpreter,"Open Interpreter is a local computer agent that lets language models write and run code, manipulate files, and interact with operating-system capabilities through a terminal interface."
browser-computer-use-and-coding-agents--openadapt,OpenAdapt,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/OpenAdaptAI/OpenAdapt,OpenAdapt is a privacy-oriented framework for recording user demonstrations and training or running computer-use agents that reproduce desktop workflows.
browser-computer-use-and-coding-agents--swe-agent,SWE-agent,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/SWE-agent/SWE-agent,"SWE-agent is Princeton's software-engineering agent framework for resolving repository issues through an agent-computer interface, shell tools, trajectories, and benchmark-compatible environments."
browser-computer-use-and-coding-agents--aider,Aider,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/Aider-AI/aider,"Aider is a terminal-based pair-programming agent that edits local Git repositories, builds repository maps, runs tests and lint commands, and supports multiple model providers."
browser-computer-use-and-coding-agents--cline,Cline,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/cline/cline,"Cline is an extensible coding agent for VS Code that can inspect projects, edit files, run commands, use browsers, connect MCP servers, and request approval for actions."
browser-computer-use-and-coding-agents--roo-code,Roo Code,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/RooCodeInc/Roo-Code,"Roo Code is a VS Code coding-agent extension with configurable modes, tools, model providers, MCP support, checkpoints, and human approval controls."
browser-computer-use-and-coding-agents--continue,Continue,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/continuedev/continue,"Continue is an open-source platform for coding agents and IDE assistants with model-provider configuration, context providers, tools, rules, and CI-oriented agent workflows."
browser-computer-use-and-coding-agents--goose,Goose,tool,"Browser, Computer-Use, and Coding Agents",open-source,active,https://github.com/aaif-goose/goose,"Goose is an extensible local coding agent, originally created by Block and now under the Agentic AI Foundation, with shell, editor, MCP, and developer-workflow integrations."
tool-use-mcp-and-integration-infrastructure--model-context-protocol-mcp,Model Context Protocol (MCP),tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://modelcontextprotocol.io/docs/getting-started/intro,"Model Context Protocol (MCP) is an open specification for exposing tools, resources, and prompts from servers to AI applications through a standardized, capability-negotiated client-server interface."
tool-use-mcp-and-integration-infrastructure--mcp-python-sdk,MCP Python SDK,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/python-sdk,"MCP Python SDK is the official Python implementation for building MCP clients and servers with typed messages, transports, tools, resources, prompts, and authentication support."
tool-use-mcp-and-integration-infrastructure--mcp-typescript-sdk,MCP TypeScript SDK,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/typescript-sdk,MCP TypeScript SDK is the official TypeScript implementation for MCP clients and servers across Node.js-compatible runtimes.
tool-use-mcp-and-integration-infrastructure--mcp-java-sdk,MCP Java SDK,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/java-sdk,MCP Java SDK is the official Java implementation of Model Context Protocol with synchronous and asynchronous client and server APIs and common transports.
tool-use-mcp-and-integration-infrastructure--mcp-c-sdk,MCP C# SDK,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/csharp-sdk,"MCP C# SDK is the official .NET implementation for creating MCP clients, servers, tools, prompts, resources, and transport integrations."
tool-use-mcp-and-integration-infrastructure--mcp-go-sdk,MCP Go SDK,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/go-sdk,MCP Go SDK is the official Go implementation for interoperable MCP clients and servers with typed protocol primitives and transport support.
tool-use-mcp-and-integration-infrastructure--official-mcp-registry,Official MCP Registry,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/modelcontextprotocol/registry,Official MCP Registry is the community-governed metadata service for publishing and discovering public MCP servers; its public API remained in preview at the review date.
tool-use-mcp-and-integration-infrastructure--fastmcp,FastMCP,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/jlowin/fastmcp,"FastMCP is a Python framework for building, composing, testing, authenticating, and deploying MCP servers and clients with high-level decorators and generated schemas."
tool-use-mcp-and-integration-infrastructure--langchain-mcp-adapters,LangChain MCP Adapters,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/langchain-ai/langchain-mcp-adapters,LangChain MCP Adapters is LangChain's package for loading tools from one or more MCP servers into LangChain agents and LangGraph workflows.
tool-use-mcp-and-integration-infrastructure--mcp-use,mcp-use,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/mcp-use/mcp-use,"mcp-use is an open-source SDK and tooling suite for connecting agents to MCP servers, testing integrations, and building MCP-capable applications in Python and TypeScript."
tool-use-mcp-and-integration-infrastructure--composio,Composio,tool,"Tool Use, MCP, and Integration Infrastructure",open-core,active,https://github.com/ComposioHQ/composio,"Composio is an integration platform for agents with managed authentication, tool schemas, and connectors to external applications, exposed through SDKs and agent-framework integrations."
tool-use-mcp-and-integration-infrastructure--arcade-mcp,Arcade MCP,tool,"Tool Use, MCP, and Integration Infrastructure",open-source,active,https://github.com/ArcadeAI/arcade-mcp,"Arcade MCP is an open-source toolkit for building MCP servers whose tools use Arcade's authorization, credential brokering, and application integrations."
tool-use-mcp-and-integration-infrastructure--pipedream,Pipedream,tool,"Tool Use, MCP, and Integration Infrastructure",open-core,active,https://github.com/PipedreamHQ/pipedream,"Pipedream is an integration and workflow platform that exposes managed application actions, authentication, event sources, and MCP connectivity to agents and developers."
tool-use-mcp-and-integration-infrastructure--toolhouse,Toolhouse,tool,"Tool Use, MCP, and Integration Infrastructure",commercial,active,https://toolhouse.ai,"Toolhouse is a managed platform for creating AI workers with selected tools, knowledge, scheduled or event-driven triggers, application integrations, and auditable execution."
tool-use-mcp-and-integration-infrastructure--smithery,Smithery,tool,"Tool Use, MCP, and Integration Infrastructure",commercial,active,https://smithery.ai,"Smithery is a hosted registry and deployment service for discovering, configuring, and connecting MCP servers to compatible clients and agent frameworks."
tool-use-mcp-and-integration-infrastructure--zapier-mcp,Zapier MCP,tool,"Tool Use, MCP, and Integration Infrastructure",commercial,active,https://zapier.com/mcp,Zapier MCP is a managed MCP interface that lets compatible agents invoke selected actions across Zapier's application connector catalog under user-controlled authorization.
tool-use-mcp-and-integration-infrastructure--portkey-ai-gateway,Portkey AI Gateway,tool,"Tool Use, MCP, and Integration Infrastructure",open-core,active,https://github.com/Portkey-AI/gateway,"Portkey AI Gateway is an open-source gateway with routing, fallbacks, retries, budgets, guardrails, and observability for model and agent traffic, plus a commercial control plane."
tool-use-mcp-and-integration-infrastructure--litellm,LiteLLM,tool,"Tool Use, MCP, and Integration Infrastructure",open-core,active,https://github.com/BerriAI/litellm,"LiteLLM is a model gateway and Python SDK that normalizes provider APIs and adds routing, budgets, fallbacks, virtual keys, logging, and MCP gateway capabilities."
agent-memory-and-state-infrastructure--mem0,Mem0,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/mem0ai/mem0,"Mem0 is a memory layer for agents that extracts, updates, retrieves, and scopes memories using vector, graph, and key-value storage options across sessions and users."
agent-memory-and-state-infrastructure--letta,Letta,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/letta-ai/letta,"Letta is a stateful agent runtime, descended from MemGPT, in which agents manage editable memory blocks, archival storage, tools, messages, and long-running identities."
agent-memory-and-state-infrastructure--zep,Zep,tool,Agent Memory and State Infrastructure,commercial,active,https://www.getzep.com,"Zep is a managed agent-memory service centered on temporal knowledge graphs that track entities, relationships, episodes, and changes in facts over time."
agent-memory-and-state-infrastructure--graphiti,Graphiti,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/getzep/graphiti,Graphiti is Zep's open-source framework for building temporally aware knowledge graphs from conversations and business data for agent retrieval and reasoning.
agent-memory-and-state-infrastructure--langmem,LangMem,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/langchain-ai/langmem,"LangMem is LangChain's SDK for extracting and managing semantic, episodic, and procedural long-term memories in LangGraph and other Python agent applications."
agent-memory-and-state-infrastructure--cognee,Cognee,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/topoteretes/cognee,"Cognee is a memory and knowledge-engineering framework that turns heterogeneous data into graph and vector representations that agents can search, update, and reason over."
agent-memory-and-state-infrastructure--hindsight,Hindsight,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/vectorize-io/hindsight,"Hindsight is an agent-memory framework that organizes observations, summaries, entities, and evolving beliefs into queryable memory networks with temporal context."
agent-memory-and-state-infrastructure--supermemory,Supermemory,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/supermemoryai/supermemory,"Supermemory is an open-source memory API for ingesting, processing, and retrieving user or application context for agents across documents, conversations, and connected sources."
agent-memory-and-state-infrastructure--memvid,Memvid,tool,Agent Memory and State Infrastructure,open-source,active,https://github.com/memvid/memvid,Memvid is a portable memory layer that packages indexed text and media into local artifacts for retrieval without requiring a separately operated database.
low-code-and-visual-agent-builders--dify,Dify,tool,Low-Code and Visual Agent Builders,open-core,active,https://github.com/langgenius/dify,"Dify is a self-hostable platform for visually building agent, workflow, chatbot, and RAG applications with model management, tools, datasets, evaluation, APIs, and a hosted edition."
low-code-and-visual-agent-builders--flowise,Flowise,tool,Low-Code and Visual Agent Builders,open-source,active,https://github.com/FlowiseAI/Flowise,"Flowise is a visual Node.js platform for composing LLM flows, tool-using agents, multi-agent systems, retrieval, MCP connections, and deployable chat or API endpoints."
low-code-and-visual-agent-builders--langflow,Langflow,tool,Low-Code and Visual Agent Builders,open-source,active,https://github.com/langflow-ai/langflow,"Langflow is a Python-based visual builder for agent and RAG graphs with reusable components, playground testing, MCP support, API serving, and source-code access."
low-code-and-visual-agent-builders--n8n,n8n,tool,Low-Code and Visual Agent Builders,open-core,active,https://github.com/n8n-io/n8n,"n8n is a fair-code workflow automation platform with visual AI agent nodes, application connectors, human approvals, scheduling, and self-hosted or managed execution."
low-code-and-visual-agent-builders--dust,Dust,tool,Low-Code and Visual Agent Builders,open-source,active,https://github.com/dust-tt/dust,"Dust is an open-source platform for creating company agents connected to enterprise data, tools, reusable skills, and collaborative interfaces, with a managed cloud offering."
low-code-and-visual-agent-builders--vellum,Vellum,tool,Low-Code and Visual Agent Builders,commercial,active,https://www.vellum.ai,"Vellum is a visual platform for developing, testing, deploying, and monitoring prompt, workflow, and agent applications with versioning and evaluation suites."
low-code-and-visual-agent-builders--rivet,Rivet,tool,Low-Code and Visual Agent Builders,open-source,active,https://github.com/Ironclad/rivet,"Rivet is an open-source visual programming environment and TypeScript library for building graph-based AI workflows, agents, tool calls, and embedded application logic."
low-code-and-visual-agent-builders--botpress,Botpress,tool,Low-Code and Visual Agent Builders,commercial,active,https://botpress.com,"Botpress is a managed visual platform for customer-facing agents with workflows, knowledge bases, tools, channels, analytics, and human handoff."
low-code-and-visual-agent-builders--relevance-ai,Relevance AI,tool,Low-Code and Visual Agent Builders,commercial,active,https://relevanceai.com,"Relevance AI is a managed no-code platform for building and operating agent teams with tools, triggers, knowledge, integrations, approvals, and workforce-style task routing."
low-code-and-visual-agent-builders--stack-ai,Stack AI,tool,Low-Code and Visual Agent Builders,commercial,active,https://www.stack-ai.com,"Stack AI is an enterprise visual platform for building agent and workflow applications over organizational data, models, tools, permissions, and governance controls."
low-code-and-visual-agent-builders--gumloop,Gumloop,tool,Low-Code and Visual Agent Builders,commercial,active,https://www.gumloop.com,"Gumloop is a hosted visual automation builder that combines AI nodes, agents, browser actions, application integrations, triggers, and reusable workflow components."
low-code-and-visual-agent-builders--vectorshift,VectorShift,tool,Low-Code and Visual Agent Builders,commercial,active,https://www.vectorshift.ai,"VectorShift is a visual platform for building, evaluating, and deploying AI workflows, search pipelines, assistants, and agents with integrations and API endpoints."
low-code-and-visual-agent-builders--voiceflow,Voiceflow,tool,Low-Code and Visual Agent Builders,commercial,active,https://www.voiceflow.com,"Voiceflow is a collaborative visual platform for designing, testing, and deploying chat and voice agents with workflows, knowledge, tools, channels, and analytics."
durable-execution-and-background-workflows--temporal,Temporal,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/temporalio/temporal,"Temporal is a durable execution platform whose event-sourced workflows, activities, retries, timers, signals, and versioning can keep multi-step agent processes resumable for long periods."
durable-execution-and-background-workflows--prefect,Prefect,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/PrefectHQ/prefect,"Prefect is a Python workflow orchestrator for observable, retriable, scheduled, and event-driven data or agent flows, with local, self-hosted, and managed execution options."
durable-execution-and-background-workflows--dagster,Dagster,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/dagster-io/dagster,"Dagster is a data orchestrator with typed assets, jobs, schedules, sensors, lineage, testing, and retry controls applicable to data-intensive and batch agent workflows."
durable-execution-and-background-workflows--dbos,DBOS,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/dbos-inc/dbos-transact-py,"DBOS is a durable workflow framework that persists application execution in a database, enabling agents and background tasks to resume with exactly-once step semantics."
durable-execution-and-background-workflows--restate,Restate,tool,Durable Execution and Background Workflows,open-core,active,https://github.com/restatedev/restate,"Restate is a durable execution system for services, workflows, and virtual objects that provides persisted state, retries, timers, idempotency, and agent-framework integrations."
durable-execution-and-background-workflows--inngest,Inngest,tool,Durable Execution and Background Workflows,open-core,active,https://github.com/inngest/inngest,"Inngest is an event-driven durable execution platform for step functions, scheduled jobs, retries, concurrency, and long-running agent workflows in JavaScript and other runtimes."
durable-execution-and-background-workflows--trigger-dev,Trigger.dev,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/triggerdotdev/trigger.dev,"Trigger.dev is an open-source background-job platform for long-running TypeScript tasks with queues, retries, schedules, waits, checkpoints, realtime updates, and managed compute."
durable-execution-and-background-workflows--hatchet,Hatchet,tool,Durable Execution and Background Workflows,open-source,active,https://github.com/hatchet-dev/hatchet,"Hatchet is an open-source distributed task and workflow engine with queues, retries, scheduling, concurrency controls, durable graphs, and SDKs for agent backends."
